match_id,wc_year,match_date,stage,team,opponent,home_away,scorer,goal_minute_raw,goal_minute_numeric,is_stoppage_time,goal_order_for_team
2022-0069,2022,2022-11-29,Group stage,England,Wales,Away,Marcus Rashford,68,68,False,3
2022-0070,2022,2022-11-28,Group stage,Cameroon,Serbia,Home,Jean-Charles Castelletto,29,29,False,1
2022-0070,2022,2022-11-28,Group stage,Cameroon,Serbia,Home,Vincent Aboubakar,64,64,False,2
2022-0070,2022,2022-11-28,Group stage,Cameroon,Serbia,Home,Eric Maxim Choupo-Moting,66,66,False,3
2022-0070,2022,2022-11-28,Group stage,Serbia,Cameroon,Away,Strahinja Pavlovic,45+1,46,True,1
2022-0070,2022,2022-11-28,Group stage,Serbia,Cameroon,Away,Sergej Milinkovic-Savic,45+3,48,True,2
2022-0070,2022,2022-11-28,Group stage,Serbia,Cameroon,Away,Aleksandar Mitrovic,53,53,False,3
2022-0071,2022,2022-11-28,Group stage,Korea Republic,Ghana,Home,Cho Guesung,58,58,False,1
2022-0071,2022,2022-11-28,Group stage,Korea Republic,Ghana,Home,Cho Guesung,61,61,False,2
2022-0071,2022,2022-11-28,Group stage,Ghana,Korea Republic,Away,Mohammed Salisu,24,24,False,1
2022-0071,2022,2022-11-28,Group stage,Ghana,Korea Republic,Away,Kudus Mohammed,34,34,False,2
2022-0071,2022,2022-11-28,Group stage,Ghana,Korea Republic,Away,Kudus Mohammed,68,68,False,3
2022-0072,2022,2022-11-28,Group stage,Brazil,Switzerland,Home,Casemiro,83,83,False,1
2022-0073,2022,2022-11-28,Group stage,Portugal,Uruguay,Home,Bruno Fernandes,54,54,False,1
2022-0073,2022,2022-11-28,Group stage,Portugal,Uruguay,Home,Bruno Fernandes,90+3,93,True,2
2022-0074,2022,2022-11-27,Group stage,Costa Rica,Japan,Away,Keysher Fuller,81,81,False,1
2022-0075,2022,2022-11-27,Group stage,Morocco,Belgium,Away,Romain Saïss,73,73,False,1
2022-0075,2022,2022-11-27,Group stage,Morocco,Belgium,Away,Zakaria Aboukhlal,90+2,92,True,2
2022-0076,2022,2022-11-27,Group stage,Croatia,Canada,Home,Andrej Kramaric,36,36,False,1
2022-0076,2022,2022-11-27,Group stage,Croatia,Canada,Home,Marko Livaja,44,44,False,2
2022-0076,2022,2022-11-27,Group stage,Croatia,Canada,Home,Andrej Kramaric,70,70,False,3
2022-0076,2022,2022-11-27,Group stage,Croatia,Canada,Home,Lovro Majer,90+4,94,True,4
2022-0076,2022,2022-11-27,Group stage,Canada,Croatia,Away,Alphonso Davies,2,2,False,1
2022-0077,2022,2022-11-27,Group stage,Spain,Germany,Home,Álvaro Morata,62,62,False,1
2022-0077,2022,2022-11-27,Group stage,Germany,Spain,Away,Niclas Füllkrug,83,83,False,1
2022-0078,2022,2022-11-26,Group stage,Australia,Tunisia,Away,Mitchell Duke,23,23,False,1
2022-0079,2022,2022-11-26,Group stage,Poland,Saudi Arabia,Home,Piotr Zielinski,39,39,False,1
2022-0079,2022,2022-11-26,Group stage,Poland,Saudi Arabia,Home,Robert Lewandowski,82,82,False,2
2022-0080,2022,2022-11-26,Group stage,France,Denmark,Home,Kylian Mbappé,61,61,False,1
2022-0080,2022,2022-11-26,Group stage,France,Denmark,Home,Kylian Mbappé,86,86,False,2
2022-0080,2022,2022-11-26,Group stage,Denmark,France,Away,Andreas Christensen,68,68,False,1
2022-0081,2022,2022-11-26,Group stage,Argentina,Mexico,Home,Lionel Messi,64,64,False,1
2022-0081,2022,2022-11-26,Group stage,Argentina,Mexico,Home,Enzo Fernández,87,87,False,2
2022-0082,2022,2022-11-25,Group stage,IR Iran,Wales,Away,Roozbeh Cheshmi,90+9,99,True,1
2022-0082,2022,2022-11-25,Group stage,IR Iran,Wales,Away,Ramin Rezaeian,90+11,101,True,2
