home_team,away_team,home_score,home_penalties,away_score,away_penalties,attendance,venue,stage,match_date,host_country,wc_year,home_goal_scorers,away_goal_scorers,home_og_scored,away_og_scored,match_id,total_goals,scoreline,goal_difference,went_to_penalties,stage_group,decade,venue_name,venue_city,winner,result_type
Greece,Argentina,0,0,2,0,38891,"Peter Mokaba Stadium, Polokwane",Group stage,2010-06-22,South Africa,2010,,"Martín Demichelis@77,Martín Palermo@89",0,0,2010-0490,2,0-2,2,False,Group,2010s,Peter Mokaba Stadium,Polokwane,Argentina,Away win
Portugal,Korea DPR,7,0,0,0,63644,"Cape Town Stadium, Cape Town",Group stage,2010-06-21,South Africa,2010,"Raul Meireles@29,Simão Sabrosa@53,Hugo Almeida@56,Tiago Mendes@60,Liédson@81,Cristiano Ronaldo@87,Tiago Mendes@89",,0,0,2010-0491,7,7-0,7,False,Group,2010s,Cape Town Stadium,Cape Town,Portugal,Home win
Chile,Switzerland,1,0,0,0,34872,"Nelson Mandela Bay Stadium, Port Elizabeth",Group stage,2010-06-21,South Africa,2010,Mark González@75,,0,0,2010-0492,1,1-0,1,False,Group,2010s,Nelson Mandela Bay Stadium,Port Elizabeth,Chile,Home win
Italy,West Germany,3,0,1,0,90000,"Santiago Bernabeu, Madrid",Final,1982-07-11,Spain,1982,"Paolo Rossi@57,Marco Tardelli@69,Alessandro Altobelli@81",Paul Breitner@83,0,0,1982-0493,4,3-1,2,False,Final,1980s,Santiago Bernabeu,Madrid,Italy,Home win
Poland,France,3,0,2,0,28000,"Jose Rico Perez, Alicante",Third-place match,1982-07-10,Spain,1982,"Andrzej Szarmach@40,Stefan Majewski@44,Janusz Kupcewicz@46","René Girard@13,Alain Couriol@72",0,0,1982-0494,5,3-2,1,False,Placement,1980s,Jose Rico Perez,Alicante,Poland,Home win
Poland,Italy,0,0,2,0,50000,"Camp Nou, Barcelona",Semi-finals,1982-07-08,Spain,1982,,"Paolo Rossi@22,Paolo Rossi@73",0,0,1982-0495,2,0-2,2,False,Knockout,1980s,Camp Nou,Barcelona,Italy,Away win
West Germany,France,3,5,3,4,70000,"Ramon Sanchez Pizjuan, Seville",Semi-finals,1982-07-08,Spain,1982,"Pierre Littbarski@17,Karl-Heinz Rummenigge@102,Klaus Fischer@108","Marius Trésor@92,Alain Giresse@98,Michel Platini@26",0,0,1982-0496,6,3-3,0,True,Knockout,1980s,Ramon Sanchez Pizjuan,Seville,West Germany,Home win on penalties
Italy,Brazil,3,0,2,0,44000,"Sarria, Barcelona",Second group stage,1982-07-05,Spain,1982,"Paolo Rossi@5,Paolo Rossi@25,Paolo Rossi@74","Sócrates@12,Paulo Roberto Falcão@68",0,0,1982-0497,5,3-2,1,False,Group,1980s,Sarria,Barcelona,Italy,Home win
Spain,England,0,0,0,0,75000,"Santiago Bernabeu, Madrid",Second group stage,1982-07-05,Spain,1982,,,0,0,1982-0498,0,0-0,0,False,Group,1980s,Santiago Bernabeu,Madrid,Draw,Draw
France,Northern Ireland,4,0,1,0,37000,"Vicente Calderon, Madrid",Second group stage,1982-07-04,Spain,1982,"Alain Giresse@33,Dominique Rocheteau@46,Dominique Rocheteau@68,Alain Giresse@80",Gerry Armstrong@75,0,0,1982-0499,5,4-1,3,False,Group,1980s,Vicente Calderon,Madrid,France,Home win
Poland,Soviet Union,0,0,0,0,65000,"Camp Nou, Barcelona",Second group stage,1982-07-04,Spain,1982,,,0,0,1982-0500,0,0-0,0,False,Group,1980s,Camp Nou,Barcelona,Draw,Draw
Argentina,Brazil,1,0,3,0,44000,"Sarria, Barcelona",Second group stage,1982-07-02,Spain,1982,Ramón Díaz@89,"Zico@11,Serginho Chulapa@66,Leovegildo Lins da Gama Júnior@75",0,0,1982-0501,4,1-3,2,False,Group,1980s,Sarria,Barcelona,Brazil,Away win
West Germany,Spain,2,0,1,0,90089,"Santiago Bernabeu, Madrid",Second group stage,1982-07-02,Spain,1982,"Pierre Littbarski@50,Klaus Fischer@75",Jesús María Zamora@82,0,0,1982-0502,3,2-1,1,False,Group,1980s,Santiago Bernabeu,Madrid,West Germany,Home win
Austria,Northern Ireland,2,0,2,0,20000,"Vicente Calderon, Madrid",Second group stage,1982-07-01,Spain,1982,"Bruno Pezzey@50,Reinhold Hintermaier@68","Billy Hamilton@27,Billy Hamilton@75",0,0,1982-0503,4,2-2,0,False,Group,1980s,Vicente Calderon,Madrid,Draw,Draw
Belgium,Soviet Union,0,0,1,0,45000,"Camp Nou, Barcelona",Second group stage,1982-07-01,Spain,1982,,Khoren Oganesian@48,0,0,1982-0504,1,0-1,1,False,Group,1980s,Camp Nou,Barcelona,Soviet Union,Away win
Italy,Argentina,2,0,1,0,43000,"Sarria, Barcelona",Second group stage,1982-06-29,Spain,1982,"Marco Tardelli@57,Antonio Cabrini@67",Daniel Passarella@83,0,0,1982-0505,3,2-1,1,False,Group,1980s,Sarria,Barcelona,Italy,Home win
West Germany,England,0,0,0,0,75000,"Santiago Bernabeu, Madrid",Second group stage,1982-06-29,Spain,1982,,,0,0,1982-0506,0,0-0,0,False,Group,1980s,Santiago Bernabeu,Madrid,Draw,Draw
Austria,France,0,0,1,0,37000,"Vicente Calderon, Madrid",Second group stage,1982-06-28,Spain,1982,,Bernard Genghini@39,0,0,1982-0507,1,0-1,1,False,Group,1980s,Vicente Calderon,Madrid,France,Away win
Poland,Belgium,3,0,0,0,65000,"Camp Nou, Barcelona",Second group stage,1982-06-28,Spain,1982,"Zbigniew Boniek@4,Zbigniew Boniek@26,Zbigniew Boniek@53",,0,0,1982-0508,3,3-0,3,False,Group,1980s,Camp Nou,Barcelona,Poland,Home win
England,Kuwait,1,0,0,0,39700,"San Mames, Bilbao",First group stage,1982-06-25,Spain,1982,Trevor Francis@27,,0,0,1982-0509,1,1-0,1,False,Group,1980s,San Mames,Bilbao,England,Home win
West Germany,Austria,1,0,0,0,41000,"El Molinon, Gijon",First group stage,1982-06-25,Spain,1982,Horst Hrubesch@10,,0,0,1982-0510,1,1-0,1,False,Group,1980s,El Molinon,Gijon,West Germany,Home win
Northern Ireland,Spain,1,0,0,0,49562,"Luis Casanova, Valencia",First group stage,1982-06-25,Spain,1982,Gerry Armstrong@47,,0,0,1982-0511,1,1-0,1,False,Group,1980s,Luis Casanova,Valencia,Northern Ireland,Home win
France,Czechoslovakia,1,0,1,0,28000,"Jose Zorrilla, Valladolid",First group stage,1982-06-24,Spain,1982,Didier Six@66,Antonín Panenka@84,0,0,1982-0512,2,1-1,0,False,Group,1980s,Jose Zorrilla,Valladolid,Draw,Draw
Algeria,Chile,3,0,2,0,16000,"Carlos Tartiere, Oviedo",First group stage,1982-06-24,Spain,1982,"Salah Assad@7,Salah Assad@31,Tedj Bensaoula@35","Juan Carlos Letelier@73,Miguel Ángel Neira@59",0,0,1982-0513,5,3-2,1,False,Group,1980s,Carlos Tartiere,Oviedo,Algeria,Home win
Honduras,Yugoslavia,0,0,1,0,25000,"La Romareda, Zaragoza",First group stage,1982-06-24,Spain,1982,,Vladimir Petrovi@88,0,0,1982-0514,1,0-1,1,False,Group,1980s,La Romareda,Zaragoza,Yugoslavia,Away win
Italy,Cameroon,1,0,1,0,20000,"Estadio Municipal de Balaï¿½dos, Vigo",First group stage,1982-06-23,Spain,1982,Francesco Graziani@60,Grégoire M'Bida@61,0,0,1982-0515,2,1-1,0,False,Group,1980s,Estadio Municipal de Balaï¿½dos,Vigo,Draw,Draw
Argentina,El Salvador,2,0,0,0,32500,"Jose Rico Perez, Alicante",First group stage,1982-06-23,Spain,1982,"Daniel Bertoni@54,Daniel Passarella@22",,0,0,1982-0516,2,2-0,2,False,Group,1980s,Jose Rico Perez,Alicante,Argentina,Home win
Brazil,New Zealand,4,0,0,0,43000,"Benito Villamarin, Seville",First group stage,1982-06-23,Spain,1982,"Zico@28,Zico@31,Paulo Roberto Falcão@64,Serginho Chulapa@70",,0,0,1982-0517,4,4-0,4,False,Group,1980s,Benito Villamarin,Seville,Brazil,Home win
Poland,Peru,5,0,1,0,25000,"Riazor, La Coruï¿½A",First group stage,1982-06-22,Spain,1982,"Wodzimierz Smolarek@55,Grzegorz Lato@58,Zbigniew Boniek@61,Andrzej Buncol@68,Wodzimierz Cioek@76",Guillermo La Rosa@83,0,0,1982-0518,6,5-1,4,False,Group,1980s,Riazor,La Coruï¿½A,Poland,Home win
Belgium,Hungary,1,0,1,0,37000,"Nuevo Estadio, Elche",First group stage,1982-06-22,Spain,1982,Alexandre Czerniatynski@76,József Varga@27,0,0,1982-0519,2,1-1,0,False,Group,1980s,Nuevo Estadio,Elche,Draw,Draw
Soviet Union,Scotland,2,0,2,0,45000,"La Rosaleda, Malaga",First group stage,1982-06-22,Spain,1982,"Aleksandre Chivadze@59,Ramaz Shengelia@84","Joe Jordan@15,Graeme Souness@86",0,0,1982-0520,4,2-2,0,False,Group,1980s,La Rosaleda,Malaga,Draw,Draw
Algeria,Austria,0,0,2,0,22000,"Carlos Tartiere, Oviedo",First group stage,1982-06-21,Spain,1982,,"Walter Schachner@55,Hans Krankl@67",0,0,1982-0521,2,0-2,2,False,Group,1980s,Carlos Tartiere,Oviedo,Austria,Away win
France,Kuwait,4,0,1,0,30043,"Jose Zorrilla, Valladolid",First group stage,1982-06-21,Spain,1982,"Bernard Genghini@31,Michel Platini@43,Didier Six@48,Maxime Bossis@89",Abdullah Al-Buloushi@75,0,0,1982-0522,5,4-1,3,False,Group,1980s,Jose Zorrilla,Valladolid,France,Home win
Honduras,Northern Ireland,1,0,1,0,15000,"La Romareda, Zaragoza",First group stage,1982-06-21,Spain,1982,Eduardo Laing@60,Gerry Armstrong@9,0,0,1982-0523,2,1-1,0,False,Group,1980s,La Romareda,Zaragoza,Draw,Draw
West Germany,Chile,4,0,1,0,42000,"El Molinon, Gijon",First group stage,1982-06-20,Spain,1982,"Karl-Heinz Rummenigge@9,Karl-Heinz Rummenigge@57,Karl-Heinz Rummenigge@66,Uwe Reinders@83",Gustavo Moscoso@90,0,0,1982-0524,5,4-1,3,False,Group,1980s,El Molinon,Gijon,West Germany,Home win
England,Czechoslovakia,2,0,0,0,41123,"San Mames, Bilbao",First group stage,1982-06-20,Spain,1982,Trevor Francis@62,,1,0,1982-0525,2,2-0,2,False,Group,1980s,San Mames,Bilbao,England,Home win
Spain,Yugoslavia,2,0,1,0,48000,"Luis Casanova, Valencia",First group stage,1982-06-20,Spain,1982,"Enrique Saura@66,Juanito@14",Ivan Gudelj@10,0,0,1982-0526,3,2-1,1,False,Group,1980s,Luis Casanova,Valencia,Spain,Home win
Poland,Cameroon,0,0,0,0,19000,"Riazor, La Coruï¿½A",First group stage,1982-06-19,Spain,1982,,,0,0,1982-0527,0,0-0,0,False,Group,1980s,Riazor,La Coruï¿½A,Draw,Draw
Soviet Union,New Zealand,3,0,0,0,19000,"La Rosaleda, Malaga",First group stage,1982-06-19,Spain,1982,"Yuri Gavrilov@24,Oleh Blokhin@48,Sergei Pavlovich Baltacha@68",,0,0,1982-0528,3,3-0,3,False,Group,1980s,La Rosaleda,Malaga,Soviet Union,Home win
Belgium,El Salvador,1,0,0,0,15000,"Nuevo Estadio, Elche",First group stage,1982-06-19,Spain,1982,Ludo Coeck@19,,0,0,1982-0529,1,1-0,1,False,Group,1980s,Nuevo Estadio,Elche,Belgium,Home win
Italy,Peru,1,0,1,0,25000,"Estadio Municipal de Balaï¿½dos, Vigo",First group stage,1982-06-18,Spain,1982,Bruno Conti@18,Rubén Toribio Díaz@83,0,0,1982-0530,2,1-1,0,False,Group,1980s,Estadio Municipal de Balaï¿½dos,Vigo,Draw,Draw
Brazil,Scotland,4,0,1,0,47379,"Benito Villamarin, Seville",First group stage,1982-06-18,Spain,1982,"Zico@33,Oscar@48,Éder Aleixo de Assis@63,Paulo Roberto Falcão@87",David Narey@18,0,0,1982-0531,5,4-1,3,False,Group,1980s,Benito Villamarin,Seville,Brazil,Home win
Argentina,Hungary,4,0,1,0,32093,"Jose Rico Perez, Alicante",First group stage,1982-06-18,Spain,1982,"Daniel Bertoni@26,Diego Maradona@28,Diego Maradona@57,Osvaldo Ardiles@60",Gábor Pölöskei@76,0,0,1982-0532,5,4-1,3,False,Group,1980s,Jose Rico Perez,Alicante,Argentina,Home win
Chile,Austria,0,0,1,0,22500,"Carlos Tartiere, Oviedo",First group stage,1982-06-17,Spain,1982,,Walter Schachner@22,0,0,1982-0533,1,0-1,1,False,Group,1980s,Carlos Tartiere,Oviedo,Austria,Away win
Czechoslovakia,Kuwait,1,0,1,0,25000,"Jose Zorrilla, Valladolid",First group stage,1982-06-17,Spain,1982,Antonín Panenka@21,Faisal Al-Dakhil@57,0,0,1982-0534,2,1-1,0,False,Group,1980s,Jose Zorrilla,Valladolid,Draw,Draw
Yugoslavia,Northern Ireland,0,0,0,0,25000,"La Romareda, Zaragoza",First group stage,1982-06-17,Spain,1982,,,0,0,1982-0535,0,0-0,0,False,Group,1980s,La Romareda,Zaragoza,Draw,Draw
Ecuador,Germany,0,0,3,0,72000,"Olympiastadion Berlin, Berlin",Group stage,2006-06-20,Germany,2006,,"Miroslav Klose@4,Miroslav Klose@44,Lukas Podolski@57",0,0,2006-0536,3,0-3,3,False,Group,2000s,Olympiastadion Berlin,Berlin,Germany,Away win
Paraguay,Trinidad and Tobago,2,0,0,0,46000,"Fritz-Walter-Stadion, Kaiserslautern",Group stage,2006-06-20,Germany,2006,Nelson Cuevas@86,,1,0,2006-0537,2,2-0,2,False,Group,2000s,Fritz-Walter-Stadion,Kaiserslautern,Paraguay,Home win
Sweden,England,2,0,2,0,45000,"RheinEnergieSTADION, Köln",Group stage,2006-06-20,Germany,2006,"Marcus Allbäck@51,Henrik Larsson@90","Joe Cole@34,Steven Gerrard@85",0,0,2006-0538,4,2-2,0,False,Group,2000s,RheinEnergieSTADION,Köln,Draw,Draw
Togo,Switzerland,0,0,2,0,65000,"Signal Iduna Park, Dortmund",Group stage,2006-06-19,Germany,2006,,"Alexander Frei@16,Tranquillo Barnetta@88",0,0,2006-0539,2,0-2,2,False,Group,2000s,Signal Iduna Park,Dortmund,Switzerland,Away win
Saudi Arabia,Ukraine,0,0,4,0,50000,"Volksparkstadion, Hamburg",Group stage,2006-06-19,Germany,2006,,"Andriy Rusol@4,Serhiy Rebrov@36,Andriy Shevchenko@46,Maksym Kalynychenko@84",0,0,2006-0540,4,0-4,4,False,Group,2000s,Volksparkstadion,Hamburg,Ukraine,Away win
Spain,Tunisia,3,0,1,0,52000,"Mercedes-Benz Arena, Stuttgart",Group stage,2006-06-19,Germany,2006,"Raúl@71,Fernando Torres@76,Fernando Torres@90+1",Jawhar Mnari@8,0,0,2006-0541,4,3-1,2,False,Group,2000s,Mercedes-Benz Arena,Stuttgart,Spain,Home win
Japan,Croatia,0,0,0,0,41000,"Max-Morlock-Stadion, Nürnberg",Group stage,2006-06-18,Germany,2006,,,0,0,2006-0542,0,0-0,0,False,Group,2000s,Max-Morlock-Stadion,Nürnberg,Draw,Draw
Brazil,Australia,2,0,0,0,66000,"Allianz Arena, München",Group stage,2006-06-18,Germany,2006,"Adriano@49,Fred@90",,0,0,2006-0543,2,2-0,2,False,Group,2000s,Allianz Arena,München,Brazil,Home win
France,Korea Republic,1,0,1,0,43000,"Red Bull Arena, Leipzig",Group stage,2006-06-18,Germany,2006,Thierry Henry@9,Park Ji-sung@81,0,0,2006-0544,2,1-1,0,False,Group,2000s,Red Bull Arena,Leipzig,Draw,Draw
Portugal,IR Iran,2,0,0,0,48000,"Commerzbank-Arena, Frankfurt am Main",Group stage,2006-06-17,Germany,2006,"Deco@63,Cristiano Ronaldo@80",,0,0,2006-0545,2,2-0,2,False,Group,2000s,Commerzbank-Arena,Frankfurt am Main,Portugal,Home win
Czech Republic,Ghana,0,0,2,0,45000,"RheinEnergieSTADION, Köln",Group stage,2006-06-17,Germany,2006,,"Asamoah Gyan@2,Sulley Muntari@82",0,0,2006-0546,2,0-2,2,False,Group,2000s,RheinEnergieSTADION,Köln,Ghana,Away win
Italy,United States,1,0,1,0,46000,"Fritz-Walter-Stadion, Kaiserslautern",Group stage,2006-06-17,Germany,2006,Alberto Gilardino@22,,0,1,2006-0547,2,1-1,0,False,Group,2000s,Fritz-Walter-Stadion,Kaiserslautern,Draw,Draw
Argentina,Serbia and Montenegro,6,0,0,0,52000,"Veltins-Arena, Gelsenkirchen",Group stage,2006-06-16,Germany,2006,"Maxi Rodríguez@6,Esteban Cambiasso@31,Maxi Rodríguez@41,Hernán Crespo@78,Carlos Tevez@84,Lionel Messi@88",,0,0,2006-0548,6,6-0,6,False,Group,2000s,Veltins-Arena,Gelsenkirchen,Argentina,Home win
Switzerland,Colombia,0,0,2,0,83401,"Stanford Stadium, San Francisco",Group stage,1994-06-26,United States,1994,,"Hernán Gaviria@44,John Harold Lozano@90",0,0,1994-0549,2,0-2,2,False,Group,1990s,Stanford Stadium,San Francisco,Colombia,Away win
Belgium,Netherlands,1,0,0,0,62387,"Citrus Bowl, Orlando",Group stage,1994-06-25,United States,1994,Philippe Albert@65,,0,0,1994-0550,1,1-0,1,False,Group,1990s,Citrus Bowl,Orlando,Belgium,Home win
Saudi Arabia,Morocco,2,0,1,0,76322,"Giants Stadium, New York/New Jersey",Group stage,1994-06-25,United States,1994,"Fuad Anwar@45,Sami Al-Jaber@7",Mohammed Chaouch@26,0,0,1994-0551,3,2-1,1,False,Group,1990s,Giants Stadium,New York/New Jersey,Saudi Arabia,Home win
Argentina,Nigeria,2,0,1,0,54453,"Foxboro Stadium, Boston",Group stage,1994-06-25,United States,1994,"Claudio Caniggia@21,Claudio Caniggia@28",Samson Siasia@8,0,0,1994-0552,3,2-1,1,False,Group,1990s,Foxboro Stadium,Boston,Argentina,Home win
Mexico,Republic of Ireland,2,0,1,0,60790,"Citrus Bowl, Orlando",Group stage,1994-06-24,United States,1994,"Luis García Postigo@42,Luis García Postigo@65",John Aldridge@84,0,0,1994-0553,3,2-1,1,False,Group,1990s,Citrus Bowl,Orlando,Mexico,Home win
Brazil,Cameroon,3,0,0,0,83401,"Stanford Stadium, San Francisco",Group stage,1994-06-24,United States,1994,"Romário@39,Márcio Santos@66,Bebeto@73",,0,0,1994-0554,3,3-0,3,False,Group,1990s,Stanford Stadium,San Francisco,Brazil,Home win
Sweden,Russia,3,0,1,0,71528,"Pontiac Silverdome, Detroit",Group stage,1994-06-24,United States,1994,"Martin Dahlin@59,Martin Dahlin@81,Tomas Brolin@37",Oleg Salenko@4,0,0,1994-0555,4,3-1,2,False,Group,1990s,Pontiac Silverdome,Detroit,Sweden,Home win
Italy,Norway,1,0,0,0,74624,"Giants Stadium, New York/New Jersey",Group stage,1994-06-23,United States,1994,Dino Baggio@69,,0,0,1994-0556,1,1-0,1,False,Group,1990s,Giants Stadium,New York/New Jersey,Italy,Home win
Korea Republic,Bolivia,0,0,0,0,54453,"Foxboro Stadium, Boston",Group stage,1994-06-23,United States,1994,,,0,0,1994-0557,0,0-0,0,False,Group,1990s,Foxboro Stadium,Boston,Draw,Draw
Romania,Switzerland,1,0,4,0,61428,"Pontiac Silverdome, Detroit",Group stage,1994-06-22,United States,1994,Gheorghe Hagi@35,"Alain Sutter@16,Stéphane Chapuisat@52,Adrian Knup@65,Adrian Knup@72",0,0,1994-0558,5,1-4,3,False,Group,1990s,Pontiac Silverdome,Detroit,Switzerland,Away win
United States,Colombia,2,0,1,0,93869,"Rose Bowl, Los Angeles",Group stage,1994-06-22,United States,1994,Earnie Stewart@52,Adolfo Valencia@90,1,0,1994-0559,3,2-1,1,False,Group,1990s,Rose Bowl,Los Angeles,United States,Home win
Argentina,Greece,4,0,0,0,54456,"Foxboro Stadium, Boston",Group stage,1994-06-21,United States,1994,"Gabriel Batistuta@2,Gabriel Batistuta@44,Diego Maradona@60,Gabriel Batistuta@90",,0,0,1994-0560,4,4-0,4,False,Group,1990s,Foxboro Stadium,Boston,Argentina,Home win
Germany,Spain,1,0,1,0,63113,"Soldier Field, Chicago",Group stage,1994-06-21,United States,1994,Jürgen Klinsmann@48,Ion Andoni Goikoetxea@14,0,0,1994-0561,2,1-1,0,False,Group,1990s,Soldier Field,Chicago,Draw,Draw
Nigeria,Bulgaria,3,0,0,0,44132,"Cotton Bowl, Dallas",Group stage,1994-06-21,United States,1994,"Rashidi Yekini@21,Daniel Amokachi@43,Emmanuel Amunike@55",,0,0,1994-0562,3,3-0,3,False,Group,1990s,Cotton Bowl,Dallas,Nigeria,Home win
Brazil,Russia,2,0,0,0,81061,"Stanford Stadium, San Francisco",Group stage,1994-06-20,United States,1994,"Romário@26,Raí@52",,0,0,1994-0563,2,2-0,2,False,Group,1990s,Stanford Stadium,San Francisco,Brazil,Home win
Netherlands,Saudi Arabia,2,0,1,0,50535,"RFK Stadium, Washington Dc",Group stage,1994-06-20,United States,1994,"Wim Jonk@50,Gaston Taument@86",Fuad Anwar@18,0,0,1994-0564,3,2-1,1,False,Group,1990s,RFK Stadium,Washington Dc,Netherlands,Home win
Belgium,Morocco,1,0,0,0,61219,"Citrus Bowl, Orlando",Group stage,1994-06-19,United States,1994,Marc Degryse@11,,0,0,1994-0565,1,1-0,1,False,Group,1990s,Citrus Bowl,Orlando,Belgium,Home win
Norway,Mexico,1,0,0,0,52395,"RFK Stadium, Washington Dc",Group stage,1994-06-19,United States,1994,Kjetil Rekdal@84,,0,0,1994-0566,1,1-0,1,False,Group,1990s,RFK Stadium,Washington Dc,Norway,Home win
Cameroon,Sweden,2,0,2,0,93194,"Rose Bowl, Los Angeles",Group stage,1994-06-19,United States,1994,"David Embé@31,François Omam-Biyik@47","Roger Ljung@8,Martin Dahlin@75",0,0,1994-0567,4,2-2,0,False,Group,1990s,Rose Bowl,Los Angeles,Draw,Draw
United States,Switzerland,1,0,1,0,73425,"Pontiac Silverdome, Detroit",Group stage,1994-06-18,United States,1994,Eric Wynalda@44,Georges Bregy@39,0,0,1994-0568,2,1-1,0,False,Group,1990s,Pontiac Silverdome,Detroit,Draw,Draw
Italy,Republic of Ireland,0,0,1,0,75338,"Giants Stadium, New York/New Jersey",Group stage,1994-06-18,United States,1994,,Ray Houghton@11,0,0,1994-0569,1,0-1,1,False,Group,1990s,Giants Stadium,New York/New Jersey,Republic of Ireland,Away win
Colombia,Romania,1,0,3,0,91856,"Rose Bowl, Los Angeles",Group stage,1994-06-18,United States,1994,Adolfo Valencia@43,"Florin Rducioiu@15,Gheorghe Hagi@34,Florin Rducioiu@89",0,0,1994-0570,4,1-3,2,False,Group,1990s,Rose Bowl,Los Angeles,Romania,Away win
Germany,Bolivia,1,0,0,0,63117,"Soldier Field, Chicago",Group stage,1994-06-17,United States,1994,Jürgen Klinsmann@61,,0,0,1994-0571,1,1-0,1,False,Group,1990s,Soldier Field,Chicago,Germany,Home win
West Germany,Mexico,0,4,0,1,41700,"Estadio Universitario, Monterrey",Quarter-finals,1986-06-21,Mexico,1986,,,0,0,1986-0572,0,0-0,0,True,Knockout,1980s,Estadio Universitario,Monterrey,West Germany,Home win on penalties
Spain,Korea Republic,2,0,2,0,56247,"Cotton Bowl, Dallas",Group stage,1994-06-17,United States,1994,"Julio Salinas@51,Ion Andoni Goikoetxea@55","Hong Myung-bo@85,Seo Jung-won@90",0,0,1994-0573,4,2-2,0,False,Group,1990s,Cotton Bowl,Dallas,Draw,Draw
England,Paraguay,3,0,0,0,98728,"Estadio Azteca, Mexico City",Round of 16,1986-06-18,Mexico,1986,"Gary Lineker@31,Peter Beardsley@56,Gary Lineker@72",,0,0,1986-0574,3,3-0,3,False,Knockout,1980s,Estadio Azteca,Mexico City,England,Home win
West Germany,Argentina,1,0,0,0,73603,"Stadio Olimpico, Rome",Final,1990-07-08,Italy,1990,Andreas Brehme@85,,0,0,1990-0575,1,1-0,1,False,Final,1990s,Stadio Olimpico,Rome,West Germany,Home win
Denmark,Spain,1,0,5,0,38500,"Estadio Corregidora, Queretaro",Round of 16,1986-06-18,Mexico,1986,Jesper Olsen@33,"Emilio Butragueño@43,Emilio Butragueño@57,Emilio Butragueño@80,Andoni Goikoetxea@68,Emilio Butragueño@89",0,0,1986-0576,6,1-5,4,False,Knockout,1980s,Estadio Corregidora,Queretaro,Spain,Away win
Italy,England,2,0,1,0,51426,"Stadio San Nicola, Bari",Third-place match,1990-07-07,Italy,1990,"Roberto Baggio@71,Salvatore Schillaci@86",David Platt@81,0,0,1990-0577,3,2-1,1,False,Placement,1990s,Stadio San Nicola,Bari,Italy,Home win
Italy,France,0,0,2,0,70000,"Estadio Olï¿½mpico Universitario, Mexico City",Round of 16,1986-06-17,Mexico,1986,,"Michel Platini@15,Yannick Stopyra@57",0,0,1986-0578,2,0-2,2,False,Knockout,1980s,Estadio Olï¿½mpico Universitario,Mexico City,France,Away win
West Germany,England,1,4,1,3,62628,"Stadio delle Alpi, Turin",Semi-finals,1990-07-04,Italy,1990,Andreas Brehme@60,Gary Lineker@80,0,0,1990-0579,2,1-1,0,True,Knockout,1990s,Stadio delle Alpi,Turin,West Germany,Home win on penalties
Morocco,West Germany,0,0,1,0,19800,"Estadio Universitario, Monterrey",Round of 16,1986-06-17,Mexico,1986,,Lothar Matthäus@88,0,0,1986-0580,1,0-1,1,False,Knockout,1980s,Estadio Universitario,Monterrey,West Germany,Away win
Italy,Argentina,1,3,1,4,59978,"San Paolo, Naples",Semi-finals,1990-07-03,Italy,1990,Salvatore Schillaci@17,Claudio Caniggia@67,0,0,1990-0581,2,1-1,0,True,Knockout,1990s,San Paolo,Naples,Argentina,Away win on penalties
Brazil,Poland,4,0,0,0,45000,"Jalisco, Guadalajara",Round of 16,1986-06-16,Mexico,1986,"Josimar@55,Edinho@79,Sócrates@30,Careca@83",,0,0,1986-0582,4,4-0,4,False,Knockout,1980s,Jalisco,Guadalajara,Brazil,Home win
West Germany,Czechoslovakia,1,0,0,0,73347,"Giuseppe Meazza, Milan",Quarter-finals,1990-07-01,Italy,1990,Lothar Matthäus@25,,0,0,1990-0583,1,1-0,1,False,Knockout,1990s,Giuseppe Meazza,Milan,West Germany,Home win
Argentina,Uruguay,1,0,0,0,26000,"Cuauhtemoc, Puebla",Round of 16,1986-06-16,Mexico,1986,Pedro Pasculli@42,,0,0,1986-0584,1,1-0,1,False,Knockout,1980s,Cuauhtemoc,Puebla,Argentina,Home win
England,Cameroon,3,0,2,0,55205,"San Paolo, Naples",Quarter-finals,1990-07-01,Italy,1990,"David Platt@25,Gary Lineker@83,Gary Lineker@105","Eugène Ekéké@65,Emmanuel Kundé@61",0,0,1990-0585,5,3-2,1,False,Knockout,1990s,San Paolo,Naples,England,Home win
Mexico,Bulgaria,2,0,0,0,114580,"Estadio Azteca, Mexico City",Round of 16,1986-06-15,Mexico,1986,"Manuel Negrete Arias@34,Raúl Servín@61",,0,0,1986-0586,2,2-0,2,False,Knockout,1980s,Estadio Azteca,Mexico City,Mexico,Home win
Yugoslavia,Argentina,0,2,0,3,38971,"Comunale, Florence",Quarter-finals,1990-06-30,Italy,1990,,,0,0,1990-0587,0,0-0,0,True,Knockout,1990s,Comunale,Florence,Argentina,Away win on penalties
Soviet Union,Belgium,3,0,4,0,32277,"Nou Camp - Estadio Leï¿½n, Leon",Round of 16,1986-06-15,Mexico,1986,"Igor Belanov@27,Igor Belanov@70,Igor Belanov@111","Enzo Scifo@56,Jan Ceulemans@77,Stéphane Demol@102,Nico Claesen@110",0,0,1986-0588,7,3-4,1,False,Knockout,1980s,Nou Camp - Estadio Leï¿½n,Leon,Belgium,Away win
Scotland,Uruguay,0,0,0,0,20000,"Neza, Nezahualcoyotl",Group stage,1986-06-13,Mexico,1986,,,0,0,1986-0589,0,0-0,0,False,Group,1980s,Neza,Nezahualcoyotl,Draw,Draw
