home_team,away_team,home_score,home_penalties,away_score,away_penalties,attendance,venue,stage,match_date,host_country,wc_year,home_goal_scorers,away_goal_scorers,home_og_scored,away_og_scored,match_id,total_goals,scoreline,goal_difference,went_to_penalties,stage_group,decade,venue_name,venue_city,winner,result_type
Brazil,France,5,0,2,0,27100,"Rasunda Stadium, Solna",Semi-finals,1958-06-24,Sweden,1958,"Vavá@2,Didi@39,Pelé@52,Pelé@64,Pelé@75","Just Fontaine@9,Roger Piantoni@83",0,0,1958-0767,7,5-2,3,False,Knockout,1950s,Rasunda Stadium,Solna,Brazil,Home win
Brazil,England,3,0,1,0,17736,"Estadio Sausalito, Vina Del Mar",Quarter-finals,1962-06-10,Chile,1962,"Garrincha@31,Vavá@53,Garrincha@59",Gerry Hitchens@38,0,0,1962-0768,4,3-1,2,False,Knockout,1960s,Estadio Sausalito,Vina Del Mar,Brazil,Home win
France,Northern Ireland,4,0,0,0,11800,"Idrottsparken, Norrkï¿½Ping",Quarter-finals,1958-06-19,Sweden,1958,"Maryan Wisnieski@44,Just Fontaine@55,Just Fontaine@63,Roger Piantoni@68",,0,0,1958-0769,4,4-0,4,False,Knockout,1950s,Idrottsparken,Norrkï¿½Ping,France,Home win
Czechoslovakia,Hungary,1,0,0,0,11690,"Estadio El Teniente-Codelco, Rancagua",Quarter-finals,1962-06-10,Chile,1962,Adolf Scherer@13,,0,0,1962-0770,1,1-0,1,False,Knockout,1960s,Estadio El Teniente-Codelco,Rancagua,Czechoslovakia,Home win
West Germany,Yugoslavia,1,0,0,0,20055,"Malmo Stadion, Malmï¿½",Quarter-finals,1958-06-19,Sweden,1958,Helmut Rahn@12,,0,0,1958-0771,1,1-0,1,False,Knockout,1950s,Malmo Stadion,Malmï¿½,West Germany,Home win
Yugoslavia,West Germany,1,0,0,0,63324,"Nacional, Santiago De Chile",Quarter-finals,1962-06-10,Chile,1962,Petar Radakovi@85,,0,0,1962-0772,1,1-0,1,False,Knockout,1960s,Nacional,Santiago De Chile,Yugoslavia,Home win
England,Bulgaria,0,0,0,0,5700,"Estadio El Teniente-Codelco, Rancagua",Group stage,1962-06-07,Chile,1962,,,0,0,1962-0773,0,0-0,0,False,Group,1960s,Estadio El Teniente-Codelco,Rancagua,Draw,Draw
Netherlands,Côte d'Ivoire,2,0,1,0,52000,"Mercedes-Benz Arena, Stuttgart",Group stage,2006-06-16,Germany,2006,"Robin van Persie@23,Ruud van Nistelrooy@27",Bakari Koné@38,0,0,2006-0774,3,2-1,1,False,Group,2000s,Mercedes-Benz Arena,Stuttgart,Netherlands,Home win
Mexico,Angola,0,0,0,0,43000,"HDI-Arena, Hannover",Group stage,2006-06-16,Germany,2006,,,0,0,2006-0775,0,0-0,0,False,Group,2000s,HDI-Arena,Hannover,Draw,Draw
Ecuador,Costa Rica,3,0,0,0,50000,"Veltins-Arena, Gelsenkirchen",Group stage,2006-06-15,Germany,2006,"Carlos Tenorio@8,Agustín Delgado@54,Iván Kaviedes@90+2",,0,0,2006-0776,3,3-0,3,False,Group,2000s,Veltins-Arena,Gelsenkirchen,Ecuador,Home win
